Name,Class
2007_000032,aeroplane
2007_000032,person
2007_000033,aeroplane
2007_000039,tvmonitor
2007_000042,train
2007_000061,boat
2007_000063,chair
2007_000063,dog
2007_000068,bird
2007_000121,tvmonitor
2007_000123,train
2007_000129,bicycle
2007_000129,person
2007_000170,bottle
2007_000170,person
2007_000175,sheep
2007_000187,tvmonitor
2007_000241,boat
2007_000243,aeroplane
2007_000250,bottle
2007_000250,diningtable
2007_000256,aeroplane
2007_000323,person
2007_000332,horse
2007_000333,train
2007_000346,bottle
2007_000346,person
2007_000363,bird
2007_000364,motorbike
2007_000364,person
2007_000392,horse
2007_000392,person
2007_000452,chair
2007_000452,sofa
2007_000464,cow
2007_000480,aeroplane
2007_000480,person
2007_000491,cow
2007_000504,cow
2007_000504,person
2007_000515,bicycle
2007_000515,car
2007_000515,person
2007_000528,cat
2007_000529,boat
2007_000529,car
2007_000549,cat
2007_000559,bottle
2007_000559,tvmonitor
2007_000572,bicycle
2007_000584,bicycle
2007_000584,sofa
2007_000629,person
2007_000629,train
2007_000636,train
2007_000645,bird
2007_000648,aeroplane
2007_000648,bus
2007_000648,car
2007_000648,person
2007_000661,chair
2007_000661,pottedplant
2007_000661,sofa
2007_000663,bus
2007_000663,car
2007_000676,sheep
2007_000713,boat
2007_000720,dog
2007_000727,bus
2007_000727,car
2007_000727,person
2007_000733,motorbike
2007_000733,person
2007_000738,aeroplane
2007_000762,bottle
2007_000762,diningtable
2007_000762,person
2007_000768,bus
2007_000783,horse
2007_000783,person
2007_000793,bicycle
2007_000793,bus
2007_000793,person
2007_000799,horse
2007_000799,person
2007_000804,chair
2007_000804,sofa
2007_000822,motorbike
2007_000830,chair
2007_000830,diningtable
2007_000836,horse
2007_000836,person
2007_000837,boat
2007_000847,diningtable
2007_000847,person
2007_000862,boat
2007_000862,person
2007_000876,cat
2007_000904,cow
2007_000904,horse
2007_000904,person
2007_000925,sheep
2007_000999,bottle
2007_000999,person
2007_001027,bicycle
2007_001027,chair
2007_001027,sofa
2007_001027,tvmonitor
2007_001073,cow
2007_001149,pottedplant
2007_001149,sofa
2007_001149,tvmonitor
2007_001154,pottedplant
2007_001154,sofa
2007_001175,person
2007_001175,tvmonitor
2007_001185,bottle
