Name,Class,Difficulty,cBbox,Area,IoU,Accuracy
2007_000032,aeroplane,0,"[103, 77, 374, 182]",28455,0.06461232604373758,0.9234081912020422
2007_000032,aeroplane,0,"[132, 87, 196, 122]",2240,0.0,0.99518295164453
2007_000032,person,0,"[194, 179, 212, 228]",882,0.47721822541966424,0.9983869177550039
2007_000032,person,0,"[25, 188, 43, 237]",882,0.0,0.9966776425320951
2007_000033,aeroplane,0,"[8, 106, 498, 262]",76440,0.4143536267443644,0.8907639941649267
2007_000033,aeroplane,0,"[420, 199, 481, 225]",1586,0.0,0.9963330568347587
2007_000033,aeroplane,0,"[324, 187, 410, 222]",3010,0.0008547008547008547,0.9933125482680701
2007_000039,tvmonitor,0,"[155, 88, 343, 278]",35720,0.6195597882188405,0.9380993660941648
2007_000042,train,0,"[262, 31, 499, 294]",62331,0.08896137119467895,0.7286735574969525
2007_000042,train,0,"[0, 35, 234, 298]",61542,0.08505727474782014,0.728184681023974
2007_000061,boat,0,"[273, 10, 436, 278]",43684,0.526188166828322,0.9757744069130966
2007_000061,boat,0,"[183, 213, 280, 251]",3686,0.00130605137135394,0.9857795520620889
2007_000063,dog,0,"[122, 114, 378, 274]",40960,0.9857746882614304,0.9977794681910217
2007_000063,chair,0,"[74, 0, 427, 374]",132022,1.2667688526874501e-05,0.5584665465976083
2007_000068,bird,0,"[26, 44, 265, 374]",78870,0.34278698588090856,0.9414799995627124
2007_000121,tvmonitor,0,"[250, 27, 474, 266]",53536,0.09507570260726551,0.7919458608820406
2007_000121,tvmonitor,0,"[21, 27, 250, 272]",56105,0.0,0.7600607230041205
2007_000123,train,0,"[0, 25, 357, 339]",112098,0.00014919907225304164,0.5969622910754998
2007_000129,bicycle,0,"[69, 201, 254, 499]",55130,0.3713532437221766,0.9028487459506396
2007_000129,bicycle,1,"[250, 241, 333, 499]",21414,0.0,0.9624286143672979
2007_000129,bicycle,1,"[0, 143, 66, 435]",19272,0.2660460119953451,0.9452359483017734
2007_000129,person,1,"[0, 0, 65, 362]",23530,0.07057459604376494,0.9143238820425476
2007_000129,person,0,"[73, 0, 271, 461]",91278,0.059321061987499285,0.7808569615602979
2007_000129,person,0,"[251, 18, 333, 486]",38376,0.01379420963990697,0.9178639414888288
2007_000170,bottle,0,"[86, 99, 108, 164]",1430,0.0,0.9965093371070229
2007_000170,bottle,0,"[40, 113, 72, 180]",2144,0.0,0.9941008352063043
2007_000170,bottle,0,"[323, 147, 351, 205]",1624,0.0,0.9960542745359194
2007_000170,bottle,1,"[425, 156, 442, 194]",646,0.0,0.9991842170981436
2007_000170,person,0,"[2, 90, 42, 205]",4600,0.0004035512510088781,0.9862537806265435
2007_000170,person,0,"[3, 27, 460, 371]",157208,0.26746455847546546,0.6667887566247677
2007_000175,sheep,0,"[24, 33, 418, 270]",93378,0.7136400667261512,0.9034833091436865
2007_000187,tvmonitor,0,"[0, 94, 239, 335]",57599,0.0531616472513344,0.7364854241551865
2007_000241,boat,0,"[355, 182, 499, 279]",13968,0.07178947368421053,0.9758853611179479
2007_000241,boat,0,"[59, 108, 141, 212]",8528,0.459915611814346,0.9964995761205458
2007_000241,boat,0,"[245, 133, 347, 216]",8466,0.9248011569052784,0.9988623622391773
2007_000243,aeroplane,0,"[180, 126, 273, 192]",6138,0.9885985748218528,0.9998545912803237
2007_000250,diningtable,1,"[0, 169, 473, 374]",96965,0.32661455609425133,0.7395397661106464
2007_000250,bottle,0,"[96, 123, 149, 296]",9169,0.7788111605337646,0.9940188183065711
2007_000256,aeroplane,0,"[7, 95, 490, 231]",65688,0.6052172501927056,0.9404482142420014
2007_000323,person,0,"[276, 2, 499, 374]",82956,0.0,0.6338190205155587
2007_000323,person,0,"[11, 2, 304, 374]",108996,0.00015929274023336387,0.5853897515784374
2007_000332,horse,0,"[53, 49, 284, 261]",48972,0.5857096034087185,0.9356083520654105
2007_000333,train,0,"[0, 38, 366, 269]",84546,0.00023586928553049146,0.7125657322869596
2007_000346,bottle,0,"[123, 106, 229, 342]",25016,0.7165295941755426,0.9766919793803004
2007_000346,person,0,"[136, 77, 496, 374]",106920,8.526748409761422e-05,0.6749958428025054
2007_000346,person,0,"[88, 201, 128, 246]",1800,0.0,0.9967463000942298
2007_000346,person,0,"[71, 208, 110, 258]",1950,0.0,0.9961864641649576
2007_000363,bird,0,"[58, 14, 219, 238]",36064,0.8167323539949839,0.9869756190718696
2007_000363,bird,0,"[160, 121, 499, 332]",71529,0.0,0.8238843974791521
2007_000364,motorbike,0,"[53, 24, 453, 314]",116000,0.0002973263499759852,0.7477129087183632
2007_000364,motorbike,0,"[317, 36, 488, 160]",21204,0.0,0.9447865862457072
2007_000364,person,0,"[368, 0, 457, 129]",11481,0.6400432566043566,0.9865516146720152
2007_000392,horse,0,"[99, 95, 354, 323]",58140,0.0,0.905607107869816
2007_000392,person,0,"[197, 57, 285, 196]",12232,0.5991926182237601,0.9858155545880047
2007_000452,sofa,0,"[49, 120, 294, 337]",53165,0.17137129369159634,0.8598729249141532
2007_000452,chair,1,"[473, 139, 499, 283]",3744,0.0,0.9856302355591523
2007_000464,cow,0,"[70, 251, 215, 313]",8990,0.9567425569176883,0.9986565792264724
